VER.,EQUIPMENT,ID_CLIENTE,ID_CAP,MAT.,CAPS/min,PESO (g),PORTATA (kg/h),ø ESTR.,mouldNo
CCM24SA,10021120,48b4a8663c,8a54750b2f,PE,600.0,1.82,65.52,45,24
CCM24SA,10021121,f77e4c4fe4,edb2d1be14,PE,550.0,2.05,67.65,60,24
CCM24SA,10025310,9714babef9,dd8e32d122,PP,375.0,2.9,65.25,60,24
CCM24SA,10025311,6efcb37c08,649c7be16a,PE,110.0,,,45,24
CCM24SA,10025312,f6874d9dea,0f25e3c084,PE,550.0,1.95,64.35,45,24
CCM24SA,10025313,211c6754e5,055b9fd146,PE,550.0,,,60,24
CCM24SA,10025314,9714babef9,dd8e32d122,PP,375.0,2.9,65.25,60,24
CCM24SA,10025315,9714babef9,dd8e32d122,PP,375.0,2.9,65.25,60,24
CCM24SA,10033401,3694847bf2,e8a650abfd,PE,450.0,1.9,51.3,45,24
CCM24SA,10033402,0fb35f2569,cdeeefa807,PE,515.0,1.75,54.075,45,24
CCM24SA,10033404,3694847bf2,2c8babc5ea,PE,450.0,1.9,51.3,45,24
CCM24SA,10033405,3e7f5d08ca,0780db534e,PE,410.0,2.77,68.142,45,24
CCM24SA,10033406,ea3e7ea122,e8a650abfd,PE,450.0,1.9,51.3,45,24
CCM24SA,10049087,070dcf5021,8a54750b2f,PE,600.0,1.82,65.52,45,24
CCM24SA,10049088,48ad93d96b,fb2b44b343,PE,525.0,1.47,46.305,45,24
CCM24SA,10049089,3694847bf2,c156f4594c,PE,350.0,2.8,58.79999999999999,60,24
CCM24SA,10049090,006b869ef5,2b9ca74af2,PE,600.0,1.3,46.8,45,24
CCM24SA,10049091,9f0d02cc71,59cb2b6111,PE,380.0,3.1,70.68,60,24
CCM24SA,10049092,43461448c3,7f8a8b3f26,PE,550.0,1.35,44.55,45,24
CCM24SA,10060166,211c6754e5,58a49587cc,PE,550.0,1.95,64.35,60,24
CCM24SA,10060167,3e8d78640f,2cd62b0428,PE,400.0,1.46,35.04,45,24
CCM24SA,10060168,5488c36cfc,a1821ae88d,PE,560.0,1.05,35.28,45,24
CCM24SA,10060169,18d3ce447b,5985f6f835,PE,525.0,2,63.0,45,24
CCM24SA,10060170,c9abb15b1f,2c8babc5ea,PE,450.0,1.9,51.3,45,24
CCM24SA,10060171,2e56ebd28a,59cb2b6111,PE,350.0,3.1,65.1,60,24
CCM24SB,10112302,fb06f5e342,a2c90aca7f,PE,410.0,2.65,65.19,45,24
CCM24SB,10112303,72403e91a2,bd700bc080,PE,550.0,1.25,41.25,45,24
CCM24SB,10112304,4c3647cae2,788577624d,PE,490.0,2.17,63.798,45,24
CCM24SB,10112305,1534d64194,e3b0c44298,PE,525.0,1.75,55.125,45,24
CCM24SB,10112306,1534d64194,e3b0c44298,PE,525.0,1.75,55.125,45,24
CCM24SB,10135933,22c76d89da,7f43540100,PE,525.0,0.8,25.2,45,24
CCM24SB,10135934,c4d2843230,bd700bc080,PE,600.0,1.25,45.0,45,24
CCM24SB,10135935,9f057210ec,73085d7d06,PE,450.0,2.1,56.7,45,24
